Station Code,Monitoring Location,State,Temperature (°C) Min,Temperature (°C) Max,Dissolved Oxygen(mg/L) Min,Dissolved Oxygen(mg/L) Max,pH Min,pH Max,Conductivity(µmho/cm) Min,Conductivity(µmho/cm) Max,BOD(mg/L) Min,BOD(mg/L) Max,Nitrate N(mg/L) Min,Nitrate N(mg/L) Max,Fecal Coliform(MPN/100ml) Min,Fecal Coliform(MPN/100ml) Max,Total Coliform(MPN/100ml) Min,Total Coliform(MPN/100ml) Max,Fecal Streptococci(MPN/100ml) Min,Fecal Streptococci(MPN/100ml) Max
4198,CHANDRAPUR CANAL,TRIPURA,21,32,5.1,6,7,7.8,131,191,1.2,2.4,0.6,1.6,38,94,110,350,,
3389,"GHANDHA CHARRA CANAL AT
DOMBURNAGAR, DHALAI",TRIPURA,20,30,5.4,6.6,6.9,7.5,129,175,1.2,1.9,0.5,1.3,26,58,110,210,,
3387,"GILATALI CANAL, WEST
TRIPURA",TRIPURA,21,31,5.5,6.7,6.9,7.5,120,174,1.1,1.9,0.5,1.2,26,63,94,220,,
1729,"KATAKHAL CANAL AT NEAR PRAGATI VIDYABHAWAN,
AGARTALA, TRIPURA",TRIPURA,21,32,0.3,1.7,5.4,6.4,289,505,38,72,11.6,25.6,840,1600,3200,8600,,
4199,"KATAKHAL CANAL AT
KALIKAPUR",TRIPURA,21,32,2.9,4.6,6.5,7.5,159,223,5.8,11.8,1.5,3.8,48,94,170,430,,
3388,"PALATANA CANAL AT D/S OF POLLUTION OUTFALL, SOUTH
TRIPURA",TRIPURA,21,31,5.3,6.5,7,7.7,135,191,1.2,2.2,0.5,1.4,31,63,110,240,,
3390,"SAMANU CHARRA CANAL AT
CHAWMANU, DHALAI",TRIPURA,20,30,5.2,6.4,6.9,7.6,119,161,1.1,1.9,0.4,1.2,22,58,94,170,,
2726,"UPPER GANGA CANAL D/S HARIKIPAURI, RISHIKUL
BRIDGE,HARIDWAR",UTTARAKHAND,16,25,7.7,10,7.6,8.4,156,355,1.2,2.4,0.3,1.3,22,94,70,150,9,47
3998,"UPPER GANGA CANAL AT LALITA RAO BRIDGE,
HARIDWAR",UTTARAKHAND,15,25,7.8,10.4,7.6,8.3,172,344,1.4,2.3,0.3,1.4,24,94,63,140,9,48
3999,"UPPER GANGA CANAL AT DAM KOTHI, HARIDWAR",UTTARAKHAND,16,25,7.6,10.2,7.2,8.2,188,384,1,1.8,0.3,1.9,27,70,70,150,7,46
2513,"KHARDA CANAL NORTH 24
PARGANAS, NEAR JAYSHREE
CHEMICAL INDUSTRY",WEST BENGAL,21,34,0.3,2.8,6.7,7.9,669,1464,20.7,155,0.3,0.6,170000,54000000,2400000,92000000,79000,5400000
2512,"NOAI CANAL NORTH 24 PARGANAS, NEAR GANGA
NAGAR MOTIBRIDGE",WEST BENGAL,19,33,0.3,1.1,6.6,7.6,581,2537,12.2,57.5,0.3,1,1100000,5400000,3500000,9200000,170000,2400000
